arm,task,sha,round,row_index,row,wall_s
04,T8.3,510a4bb,4,1,f7_n1000_bound_physics/MakeConstraint,0.031811455
04,T8.3,510a4bb,4,2,f7_n1000_bound_physics/RelaxBounds,0.031845215
04,T8.3,510a4bb,4,3,f7_n5000_bound_physics/MakeParameter,0.178930080
04,T8.3,510a4bb,4,4,f7_n5000_bound_physics/MakeConstraint,0.173070849
04,T8.3,510a4bb,4,5,f7_n5000_bound_physics/RelaxBounds,0.173284318
04,T8.3,510a4bb,4,6,f7_n10000_bound_neutral/MakeParameter,0.541366798
04,T8.3,510a4bb,4,7,f7_n10000_bound_neutral/MakeConstraint,0.522914337
04,T8.3,510a4bb,4,8,f7_n10000_bound_neutral/RelaxBounds,0.523081956
04,T8.3,510a4bb,4,9,f7_n20000_bound_neutral/MakeParameter,1.136154414
04,T8.3,510a4bb,4,10,f7_n20000_bound_neutral/MakeConstraint,1.095620752
04,T8.3,510a4bb,4,11,f7_n20000_bound_neutral/RelaxBounds,1.092796496
04,T8.3,510a4bb,4,12,hs071_x1_fixed/MakeParameter,0.000174449
04,T8.3,510a4bb,4,13,hs071_x1_fixed/MakeConstraint,0.000123279
04,T8.3,510a4bb,4,14,hs071_x1_fixed/RelaxBounds,0.000128549
04,T8.3,510a4bb,4,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016089901
04,T8.3,510a4bb,4,16,hs071_x1_fixed/MakeParameter/cap1,0.000074690
04,T8.3,510a4bb,4,17,infeas2_spike/MakeParameter/stalled,0.000583667
04,T8.3,510a4bb,4,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000187229
04,T8.3,510a4bb,5,0,f7_n1000_bound_physics/MakeParameter,0.360024588
04,T8.3,510a4bb,5,1,f7_n1000_bound_physics/MakeConstraint,0.032028685
04,T8.3,510a4bb,5,2,f7_n1000_bound_physics/RelaxBounds,0.031997875
04,T8.3,510a4bb,5,3,f7_n5000_bound_physics/MakeParameter,0.178825835
04,T8.3,510a4bb,5,4,f7_n5000_bound_physics/MakeConstraint,0.173217362
